ensembl_gene_id,gene_symbol,SRR28352555,SRR28352556,SRR28352557,SRR28352561,SRR8327813,SRR8327814,SRR8327817,SRR8327818
ENSMUSG00000001017,Chtop,4083.096,3594.283,4052.641,4732.316,4,2,5,337.378
ENSMUSG00000001018,Snapin,3992.7320000000004,3878.08,3813.401,4324.893,1,3,1,221.001
ENSMUSG00000001020,S100a4,1163.254,1026.505,1200.8010000000002,1494.727,0,2,0,78
ENSMUSG00000001021,S100a3,31,29.388,29,36.304,0,0,0,2
ENSMUSG00000001023,S100a5,2,3.023,2,4,0,0,0,0
ENSMUSG00000001025,S100a6,19601.939000000002,16346.130000000001,18180.048000000003,19324.789000000004,10,6,13,2923
ENSMUSG00000001027,Scn4a,388.841,275.983,345.922,386.521,1,0,2,12.006
ENSMUSG00000001029,Icam2,57.09,48,85,67.892,0,0,0,5
ENSMUSG00000001034,Mapk7,1235.3140000000003,944.279,1147.775,1264.848,2,1,0,112.001
ENSMUSG00000001036,Epn2,3402.581,3077.537999999999,3321.724,3608.3510000000006,4,0,4,219.99899999999997
ENSMUSG00000001039,B9d1,281.056,236.85100000000003,293.02099999999996,307.156,0,0,0,13
ENSMUSG00000001052,Sec24b,2796.993,2406.9080000000004,2706.8120000000004,3037.037,1,0,4,190.60999999999999
ENSMUSG00000001053,N4bp3,100.073,90.001,141,120,1,0,0,9
ENSMUSG00000001054,Rmnd5b,1507.726,1316.2720000000002,1385.941,1541.2510000000002,1,1,1,105
ENSMUSG00000001056,Nhp2,1175.522,1109.2069999999999,1071.5919999999999,1190.803,1,0,1,94
ENSMUSG00000001062,Vps9d1,1539.0800000000002,1223.1299999999999,1342.563,1583.751,0,2,2,121.001
ENSMUSG00000001065,Zfp276,1191.819,970.7990000000001,1261.426,1128.942,0,0,1,64
ENSMUSG00000001076,C1ql4,299.197,261.632,322.744,400.216,2,0,1,22
ENSMUSG00000001082,Mfsd10,992.7690000000001,827.0329999999999,802.1329999999999,904.2760000000001,0,0,0,76
ENSMUSG00000001089,Luzp1,4243.478000000001,4120.932,4828.9000000000005,4775.365,0,3,2,249.001
ENSMUSG00000001095,Slc13a2,2,4.001,2,2,0,0,0,0
ENSMUSG00000001098,Kctd10,6375.909999999999,5843.162,6525.227,6908.658,4,4,13,255
ENSMUSG00000001100,Poldip2,2549.6400000000003,2367.4869999999996,2429.301,2660.276,1,2,0,97.225
ENSMUSG00000001103,Sebox,6,3,5,8,0,0,0,0
ENSMUSG00000001105,Ift20,1583.3739999999998,1471.4579999999999,1382.8979999999997,1621.125,1,4,2,168
ENSMUSG00000001119,Col6a1,1048.108,961.851,1506.997,1258.601,4,4,3,191
ENSMUSG00000001120,Pcbp3,12662.029000000002,10502.270999999999,10775.243,13295.922000000002,8,13,21,1049
ENSMUSG00000001123,Lgals9,4401.727,3174.9400000000005,3230.845,3725.746,1,1,2,152.00000000000003
ENSMUSG00000001127,Araf,5965.663,5580.088999999999,6002.2080000000005,6660.332,3,8,11,386.698
ENSMUSG00000001128,Cfp,299,212.333,255.21800000000002,273.046,0,1,1,19
ENSMUSG00000001131,Timp1,78.077,69.21000000000001,114,83.99000000000001,1,0,0,18
ENSMUSG00000001134,Uxt,330.81499999999994,383.722,332.73499999999996,357.839,0,1,0,25.451999999999998
ENSMUSG00000001138,Cnnm3,874.052,773.6990000000001,919.4509999999999,980.3300000000002,2,1,2,78.28600000000002
ENSMUSG00000001143,Lman2l,1833.374,1628.0089999999998,1779.475,1752.6719999999998,0,0,0,182.316
ENSMUSG00000001150,Mcm3ap,1830.3580000000002,1639.299,1883.0210000000002,1833.108,1,4,1,70
